split,track,stem,start_sec,end_sec,rms_dbfs,active_frame_ratio
train,Strand Of Oaks - Spacestation,mixture,50.000,60.000,-18.371,1.000000
train,Strand Of Oaks - Spacestation,vocals,50.000,60.000,-22.255,0.910000
train,Strand Of Oaks - Spacestation,drums,50.000,60.000,-23.925,0.955000
train,Strand Of Oaks - Spacestation,bass,50.000,60.000,-34.394,1.000000
train,Strand Of Oaks - Spacestation,other,50.000,60.000,-23.693,1.000000
train,Strand Of Oaks - Spacestation,mixture,60.000,70.000,-18.673,1.000000
train,Strand Of Oaks - Spacestation,vocals,60.000,70.000,-23.697,0.895000
train,Strand Of Oaks - Spacestation,drums,60.000,70.000,-23.010,0.985000
train,Strand Of Oaks - Spacestation,bass,60.000,70.000,-34.464,1.000000
train,Strand Of Oaks - Spacestation,other,60.000,70.000,-24.032,1.000000
train,Strand Of Oaks - Spacestation,mixture,70.000,80.000,-17.754,1.000000
train,Strand Of Oaks - Spacestation,vocals,70.000,80.000,-21.657,0.970000
train,Strand Of Oaks - Spacestation,drums,70.000,80.000,-23.028,0.990000
train,Strand Of Oaks - Spacestation,bass,70.000,80.000,-34.427,1.000000
train,Strand Of Oaks - Spacestation,other,70.000,80.000,-23.162,1.000000
train,Strand Of Oaks - Spacestation,mixture,80.000,90.000,-17.999,1.000000
train,Strand Of Oaks - Spacestation,vocals,80.000,90.000,-22.010,0.945000
train,Strand Of Oaks - Spacestation,drums,80.000,90.000,-24.124,0.920000
train,Strand Of Oaks - Spacestation,bass,80.000,90.000,-34.438,1.000000
train,Strand Of Oaks - Spacestation,other,80.000,90.000,-22.684,1.000000
train,Strand Of Oaks - Spacestation,mixture,90.000,100.000,-20.501,1.000000
train,Strand Of Oaks - Spacestation,vocals,90.000,100.000,-66.025,0.000000
train,Strand Of Oaks - Spacestation,drums,90.000,100.000,-23.085,0.845000
train,Strand Of Oaks - Spacestation,bass,90.000,100.000,-35.964,0.985000
train,Strand Of Oaks - Spacestation,other,90.000,100.000,-24.288,1.000000
train,Strand Of Oaks - Spacestation,mixture,100.000,110.000,-19.651,1.000000
train,Strand Of Oaks - Spacestation,vocals,100.000,110.000,-66.234,0.000000
train,Strand Of Oaks - Spacestation,drums,100.000,110.000,-22.935,0.965000
train,Strand Of Oaks - Spacestation,bass,100.000,110.000,-35.857,0.980000
train,Strand Of Oaks - Spacestation,other,100.000,110.000,-22.647,1.000000
train,Strand Of Oaks - Spacestation,mixture,110.000,120.000,-18.536,1.000000
train,Strand Of Oaks - Spacestation,vocals,110.000,120.000,-24.849,0.425000
train,Strand Of Oaks - Spacestation,drums,110.000,120.000,-23.113,0.975000
train,Strand Of Oaks - Spacestation,bass,110.000,120.000,-35.176,0.970000
train,Strand Of Oaks - Spacestation,other,110.000,120.000,-22.601,1.000000
train,Strand Of Oaks - Spacestation,mixture,120.000,130.000,-18.220,1.000000
train,Strand Of Oaks - Spacestation,vocals,120.000,130.000,-22.367,0.875000
train,Strand Of Oaks - Spacestation,drums,120.000,130.000,-25.037,1.000000
train,Strand Of Oaks - Spacestation,bass,120.000,130.000,-33.921,1.000000
train,Strand Of Oaks - Spacestation,other,120.000,130.000,-22.435,1.000000
train,Strand Of Oaks - Spacestation,mixture,130.000,140.000,-20.844,0.990000
train,Strand Of Oaks - Spacestation,vocals,130.000,140.000,-23.067,0.840000
train,Strand Of Oaks - Spacestation,drums,130.000,140.000,-30.740,0.635000
train,Strand Of Oaks - Spacestation,bass,130.000,140.000,-40.061,0.300000
train,Strand Of Oaks - Spacestation,other,130.000,140.000,-26.409,0.870000
train,Strand Of Oaks - Spacestation,mixture,140.000,150.000,-25.573,1.000000
train,Strand Of Oaks - Spacestation,vocals,140.000,150.000,-26.760,0.590000
train,Strand Of Oaks - Spacestation,drums,140.000,150.000,-51.556,0.140000
train,Strand Of Oaks - Spacestation,bass,140.000,150.000,-81.308,0.000000
train,Strand Of Oaks - Spacestation,other,140.000,150.000,-32.286,1.000000
train,Strand Of Oaks - Spacestation,mixture,150.000,160.000,-20.046,1.000000
train,Strand Of Oaks - Spacestation,vocals,150.000,160.000,-63.587,0.000000
train,Strand Of Oaks - Spacestation,drums,150.000,160.000,-22.338,0.955000
train,Strand Of Oaks - Spacestation,bass,150.000,160.000,-36.768,0.745000
train,Strand Of Oaks - Spacestation,other,150.000,160.000,-24.148,0.955000
train,Strand Of Oaks - Spacestation,mixture,160.000,170.000,-19.936,1.000000
train,Strand Of Oaks - Spacestation,vocals,160.000,170.000,-63.841,0.000000
train,Strand Of Oaks - Spacestation,drums,160.000,170.000,-22.629,0.995000
train,Strand Of Oaks - Spacestation,bass,160.000,170.000,-36.171,0.975000
train,Strand Of Oaks - Spacestation,other,160.000,170.000,-23.408,1.000000
train,Strand Of Oaks - Spacestation,mixture,170.000,180.000,-19.394,1.000000
train,Strand Of Oaks - Spacestation,vocals,170.000,180.000,-26.131,0.390000
train,Strand Of Oaks - Spacestation,drums,170.000,180.000,-22.653,0.945000
train,Strand Of Oaks - Spacestation,bass,170.000,180.000,-35.855,1.000000
train,Strand Of Oaks - Spacestation,other,170.000,180.000,-24.887,1.000000
train,Strand Of Oaks - Spacestation,mixture,180.000,190.000,-19.410,1.000000
train,Strand Of Oaks - Spacestation,vocals,180.000,190.000,-24.573,0.575000
train,Strand Of Oaks - Spacestation,drums,180.000,190.000,-23.875,0.910000
train,Strand Of Oaks - Spacestation,bass,180.000,190.000,-35.288,0.985000
train,Strand Of Oaks - Spacestation,other,180.000,190.000,-24.753,1.000000
train,Strand Of Oaks - Spacestation,mixture,190.000,200.000,-18.815,1.000000
train,Strand Of Oaks - Spacestation,vocals,190.000,200.000,-24.401,0.615000
train,Strand Of Oaks - Spacestation,drums,190.000,200.000,-22.633,0.980000
train,Strand Of Oaks - Spacestation,bass,190.000,200.000,-35.159,0.980000
train,Strand Of Oaks - Spacestation,other,190.000,200.000,-24.222,1.000000
train,Strand Of Oaks - Spacestation,mixture,200.000,210.000,-19.237,1.000000
train,Strand Of Oaks - Spacestation,vocals,200.000,210.000,-27.658,0.455000
train,Strand Of Oaks - Spacestation,drums,200.000,210.000,-22.222,0.970000
train,Strand Of Oaks - Spacestation,bass,200.000,210.000,-35.487,0.985000
train,Strand Of Oaks - Spacestation,other,200.000,210.000,-24.288,1.000000
train,Strand Of Oaks - Spacestation,mixture,210.000,220.000,-20.793,1.000000
train,Strand Of Oaks - Spacestation,vocals,210.000,220.000,-55.432,0.000000
train,Strand Of Oaks - Spacestation,drums,210.000,220.000,-23.306,1.000000
train,Strand Of Oaks - Spacestation,bass,210.000,220.000,-35.845,1.000000
train,Strand Of Oaks - Spacestation,other,210.000,220.000,-24.709,1.000000
train,Strand Of Oaks - Spacestation,mixture,220.000,230.000,-24.448,1.000000
train,Strand Of Oaks - Spacestation,vocals,220.000,230.000,-57.922,0.000000
train,Strand Of Oaks - Spacestation,drums,220.000,230.000,-27.704,0.960000
train,Strand Of Oaks - Spacestation,bass,220.000,230.000,-40.556,1.000000
train,Strand Of Oaks - Spacestation,other,220.000,230.000,-27.544,1.000000
train,Strand Of Oaks - Spacestation,mixture,230.000,240.000,-37.112,0.530000
train,Strand Of Oaks - Spacestation,vocals,230.000,240.000,-71.092,0.000000
train,Strand Of Oaks - Spacestation,drums,230.000,240.000,-39.560,0.355000
train,Strand Of Oaks - Spacestation,bass,230.000,240.000,-53.619,0.130000
train,Strand Of Oaks - Spacestation,other,230.000,240.000,-41.012,0.480000
train,BigTroubles - Phantom,mixture,0.000,10.000,-16.128,0.980000
train,BigTroubles - Phantom,vocals,0.000,10.000,-65.396,0.000000
train,BigTroubles - Phantom,drums,0.000,10.000,-24.897,0.945000
train,BigTroubles - Phantom,bass,0.000,10.000,-18.000,0.875000
train,BigTroubles - Phantom,other,0.000,10.000,-22.849,0.970000
train,BigTroubles - Phantom,mixture,10.000,20.000,-14.676,1.000000
train,BigTroubles - Phantom,vocals,10.000,20.000,-22.346,1.000000
train,BigTroubles - Phantom,drums,10.000,20.000,-24.295,1.000000
train,BigTroubles - Phantom,bass,10.000,20.000,-17.377,1.000000
train,BigTroubles - Phantom,other,10.000,20.000,-22.077,1.000000
train,BigTroubles - Phantom,mixture,20.000,30.000,-14.726,1.000000
train,BigTroubles - Phantom,vocals,20.000,30.000,-23.372,1.000000
train,BigTroubles - Phantom,drums,20.000,30.000,-24.878,1.000000
train,BigTroubles - Phantom,bass,20.000,30.000,-16.847,1.000000
train,BigTroubles - Phantom,other,20.000,30.000,-22.685,1.000000
train,BigTroubles - Phantom,mixture,30.000,40.000,-14.888,1.000000
train,BigTroubles - Phantom,vocals,30.000,40.000,-23.580,0.935000
train,BigTroubles - Phantom,drums,30.000,40.000,-24.652,1.000000
train,BigTroubles - Phantom,bass,30.000,40.000,-17.343,1.000000
train,BigTroubles - Phantom,other,30.000,40.000,-22.290,1.000000
train,BigTroubles - Phantom,mixture,40.000,50.000,-14.810,1.000000
train,BigTroubles - Phantom,vocals,40.000,50.000,-23.108,1.000000
train,BigTroubles - Phantom,drums,40.000,50.000,-24.251,1.000000
train,BigTroubles - Phantom,bass,40.000,50.000,-17.280,1.000000
train,BigTroubles - Phantom,other,40.000,50.000,-22.240,1.000000
train,BigTroubles - Phantom,mixture,50.000,60.000,-14.937,1.000000
train,BigTroubles - Phantom,vocals,50.000,60.000,-24.034,0.925000
train,BigTroubles - Phantom,drums,50.000,60.000,-24.552,1.000000
train,BigTroubles - Phantom,bass,50.000,60.000,-17.522,1.000000
train,BigTroubles - Phantom,other,50.000,60.000,-21.468,1.000000
train,BigTroubles - Phantom,mixture,60.000,70.000,-14.690,1.000000
train,BigTroubles - Phantom,vocals,60.000,70.000,-24.877,0.475000
train,BigTroubles - Phantom,drums,60.000,70.000,-24.060,1.000000
train,BigTroubles - Phantom,bass,60.000,70.000,-17.299,1.000000
train,BigTroubles - Phantom,other,60.000,70.000,-20.878,1.000000
train,BigTroubles - Phantom,mixture,70.000,80.000,-14.566,1.000000
train,BigTroubles - Phantom,vocals,70.000,80.000,-22.526,1.000000
train,BigTroubles - Phantom,drums,70.000,80.000,-24.028,1.000000
train,BigTroubles - Phantom,bass,70.000,80.000,-17.033,1.000000
train,BigTroubles - Phantom,other,70.000,80.000,-22.151,1.000000
train,BigTroubles - Phantom,mixture,80.000,90.000,-14.274,1.000000
train,BigTroubles - Phantom,vocals,80.000,90.000,-23.593,0.925000
train,BigTroubles - Phantom,drums,80.000,90.000,-24.503,1.000000
train,BigTroubles - Phantom,bass,80.000,90.000,-17.487,1.000000
train,BigTroubles - Phantom,other,80.000,90.000,-19.456,1.000000
train,BigTroubles - Phantom,mixture,90.000,100.000,-14.433,1.000000
train,BigTroubles - Phantom,vocals,90.000,100.000,-59.344,0.020000
train,BigTroubles - Phantom,drums,90.000,100.000,-25.004,1.000000
train,BigTroubles - Phantom,bass,90.000,100.000,-16.975,1.000000
train,BigTroubles - Phantom,other,90.000,100.000,-18.916,1.000000
train,BigTroubles - Phantom,mixture,100.000,110.000,-14.716,1.000000
train,BigTroubles - Phantom,vocals,100.000,110.000,-66.845,0.000000
train,BigTroubles - Phantom,drums,100.000,110.000,-24.987,1.000000
train,BigTroubles - Phantom,bass,100.000,110.000,-17.138,1.000000
train,BigTroubles - Phantom,other,100.000,110.000,-19.487,1.000000
train,BigTroubles - Phantom,mixture,110.000,120.000,-14.408,1.000000
train,BigTroubles - Phantom,vocals,110.000,120.000,-63.860,0.000000
train,BigTroubles - Phantom,drums,110.000,120.000,-24.557,1.000000
train,BigTroubles - Phantom,bass,110.000,120.000,-16.835,1.000000
train,BigTroubles - Phantom,other,110.000,120.000,-19.232,1.000000
train,BigTroubles - Phantom,mixture,120.000,130.000,-14.029,1.000000
train,BigTroubles - Phantom,vocals,120.000,130.000,-24.531,0.595000
train,BigTroubles - Phantom,drums,120.000,130.000,-24.109,1.000000
train,BigTroubles - Phantom,bass,120.000,130.000,-17.044,1.000000
train,BigTroubles - Phantom,other,120.000,130.000,-19.168,1.000000
train,BigTroubles - Phantom,mixture,130.000,140.000,-14.420,1.000000
train,BigTroubles - Phantom,vocals,130.000,140.000,-23.472,1.000000
train,BigTroubles - Phantom,drums,130.000,140.000,-24.374,1.000000
train,BigTroubles - Phantom,bass,130.000,140.000,-16.558,1.000000
train,BigTroubles - Phantom,other,130.000,140.000,-22.249,1.000000
train,BigTroubles - Phantom,mixture,140.000,146.936,-17.444,1.000000
train,BigTroubles - Phantom,vocals,140.000,146.936,-46.376,0.137681
train,BigTroubles - Phantom,drums,140.000,146.936,-29.197,0.550725
train,BigTroubles - Phantom,bass,140.000,146.936,-19.132,1.000000
train,BigTroubles - Phantom,other,140.000,146.936,-23.533,0.797101
train,ANiMAL - Rockshow,mixture,0.000,10.000,-19.961,0.810000
train,ANiMAL - Rockshow,vocals,0.000,10.000,-90.634,0.000000
train,ANiMAL - Rockshow,drums,0.000,10.000,-24.827,0.755000
train,ANiMAL - Rockshow,bass,0.000,10.000,-21.986,0.785000
train,ANiMAL - Rockshow,other,0.000,10.000,-35.073,0.340000
train,ANiMAL - Rockshow,mixture,10.000,20.000,-18.362,1.000000
train,ANiMAL - Rockshow,vocals,10.000,20.000,-26.286,0.815000
train,ANiMAL - Rockshow,drums,10.000,20.000,-23.141,0.985000
train,ANiMAL - Rockshow,bass,10.000,20.000,-21.835,1.000000
train,ANiMAL - Rockshow,other,10.000,20.000,-31.091,0.795000
train,ANiMAL - Rockshow,mixture,20.000,30.000,-18.266,1.000000
train,ANiMAL - Rockshow,vocals,20.000,30.000,-25.021,0.835000
train,ANiMAL - Rockshow,drums,20.000,30.000,-23.189,0.990000
train,ANiMAL - Rockshow,bass,20.000,30.000,-21.865,1.000000
train,ANiMAL - Rockshow,other,20.000,30.000,-31.503,0.655000
train,ANiMAL - Rockshow,mixture,30.000,40.000,-18.307,1.000000
train,ANiMAL - Rockshow,vocals,30.000,40.000,-27.022,0.720000
train,ANiMAL - Rockshow,drums,30.000,40.000,-23.230,0.935000
train,ANiMAL - Rockshow,bass,30.000,40.000,-21.630,1.000000
train,ANiMAL - Rockshow,other,30.000,40.000,-28.180,0.700000
train,ANiMAL - Rockshow,mixture,40.000,50.000,-17.909,1.000000
train,ANiMAL - Rockshow,vocals,40.000,50.000,-25.263,0.810000
train,ANiMAL - Rockshow,drums,40.000,50.000,-23.196,0.990000
train,ANiMAL - Rockshow,bass,40.000,50.000,-22.008,1.000000
train,ANiMAL - Rockshow,other,40.000,50.000,-26.664,0.890000
train,ANiMAL - Rockshow,mixture,50.000,60.000,-17.709,1.000000
train,ANiMAL - Rockshow,vocals,50.000,60.000,-24.425,0.860000
train,ANiMAL - Rockshow,drums,50.000,60.000,-23.152,0.995000
train,ANiMAL - Rockshow,bass,50.000,60.000,-22.187,1.000000
train,ANiMAL - Rockshow,other,50.000,60.000,-26.288,0.910000
train,ANiMAL - Rockshow,mixture,60.000,70.000,-18.057,1.000000
train,ANiMAL - Rockshow,vocals,60.000,70.000,-25.424,0.670000
train,ANiMAL - Rockshow,drums,60.000,70.000,-23.196,0.930000
train,ANiMAL - Rockshow,bass,60.000,70.000,-21.986,1.000000
train,ANiMAL - Rockshow,other,60.000,70.000,-27.620,0.750000
train,ANiMAL - Rockshow,mixture,70.000,80.000,-18.847,0.995000
train,ANiMAL - Rockshow,vocals,70.000,80.000,-27.436,0.565000
train,ANiMAL - Rockshow,drums,70.000,80.000,-25.959,0.700000
train,ANiMAL - Rockshow,bass,70.000,80.000,-22.250,0.905000
train,ANiMAL - Rockshow,other,70.000,80.000,-25.484,0.910000
train,ANiMAL - Rockshow,mixture,80.000,90.000,-19.544,1.000000
train,ANiMAL - Rockshow,vocals,80.000,90.000,-27.998,0.285000
train,ANiMAL - Rockshow,drums,80.000,90.000,-24.508,0.725000
train,ANiMAL - Rockshow,bass,80.000,90.000,-24.802,0.715000
train,ANiMAL - Rockshow,other,80.000,90.000,-25.633,0.945000
train,ANiMAL - Rockshow,mixture,90.000,100.000,-19.114,1.000000
train,ANiMAL - Rockshow,vocals,90.000,100.000,-68.341,0.000000
train,ANiMAL - Rockshow,drums,90.000,100.000,-22.305,1.000000
train,ANiMAL - Rockshow,bass,90.000,100.000,-24.270,0.680000
train,ANiMAL - Rockshow,other,90.000,100.000,-25.177,0.970000
train,ANiMAL - Rockshow,mixture,100.000,110.000,-19.366,1.000000
train,ANiMAL - Rockshow,vocals,100.000,110.000,-29.528,0.570000
train,ANiMAL - Rockshow,drums,100.000,110.000,-25.046,0.710000
train,ANiMAL - Rockshow,bass,100.000,110.000,-23.086,0.920000
train,ANiMAL - Rockshow,other,100.000,110.000,-26.126,0.905000
train,ANiMAL - Rockshow,mixture,110.000,120.000,-19.138,1.000000
train,ANiMAL - Rockshow,vocals,110.000,120.000,-29.416,0.740000
train,ANiMAL - Rockshow,drums,110.000,120.000,-25.451,0.670000
train,ANiMAL - Rockshow,bass,110.000,120.000,-21.907,1.000000
train,ANiMAL - Rockshow,other,110.000,120.000,-28.697,0.790000
train,ANiMAL - Rockshow,mixture,120.000,130.000,-17.543,1.000000
train,ANiMAL - Rockshow,vocals,120.000,130.000,-24.260,0.790000
train,ANiMAL - Rockshow,drums,120.000,130.000,-22.909,1.000000
train,ANiMAL - Rockshow,bass,120.000,130.000,-21.569,1.000000
train,ANiMAL - Rockshow,other,120.000,130.000,-27.369,0.810000
train,ANiMAL - Rockshow,mixture,130.000,140.000,-16.967,1.000000
train,ANiMAL - Rockshow,vocals,130.000,140.000,-22.396,0.840000
train,ANiMAL - Rockshow,drums,130.000,140.000,-22.802,1.000000
train,ANiMAL - Rockshow,bass,130.000,140.000,-21.443,1.000000
train,ANiMAL - Rockshow,other,130.000,140.000,-27.485,0.930000
train,ANiMAL - Rockshow,mixture,140.000,150.000,-17.928,1.000000
train,ANiMAL - Rockshow,vocals,140.000,150.000,-23.702,0.565000
train,ANiMAL - Rockshow,drums,140.000,150.000,-23.426,0.910000
train,ANiMAL - Rockshow,bass,140.000,150.000,-22.284,1.000000
train,ANiMAL - Rockshow,other,140.000,150.000,-28.596,0.940000
train,ANiMAL - Rockshow,mixture,150.000,160.000,-24.598,1.000000
train,ANiMAL - Rockshow,vocals,150.000,160.000,-66.204,0.005000
train,ANiMAL - Rockshow,drums,150.000,160.000,-30.790,0.210000
train,ANiMAL - Rockshow,bass,150.000,160.000,-26.327,1.000000
train,ANiMAL - Rockshow,other,150.000,160.000,-34.887,0.195000
train,ANiMAL - Rockshow,mixture,160.000,165.696,-31.026,0.424779
train,ANiMAL - Rockshow,vocals,160.000,165.696,-62.141,0.017699
train,ANiMAL - Rockshow,drums,160.000,165.696,-240.000,0.000000
train,ANiMAL - Rockshow,bass,160.000,165.696,-31.030,0.407080
train,ANiMAL - Rockshow,other,160.000,165.696,-240.000,0.000000
train,Triviul - Dorothy,mixture,0.000,10.000,-23.159,0.970000
train,Triviul - Dorothy,vocals,0.000,10.000,-28.463,0.500000
train,Triviul - Dorothy,drums,0.000,10.000,-27.288,0.230000
train,Triviul - Dorothy,bass,0.000,10.000,-27.691,0.725000
train,Triviul - Dorothy,other,0.000,10.000,-43.639,0.160000
train,Triviul - Dorothy,mixture,10.000,20.000,-21.893,0.960000
train,Triviul - Dorothy,vocals,10.000,20.000,-27.098,0.915000
train,Triviul - Dorothy,drums,10.000,20.000,-24.484,0.470000
train,Triviul - Dorothy,bass,10.000,20.000,-29.623,0.365000
train,Triviul - Dorothy,other,10.000,20.000,-240.000,0.000000
train,Triviul - Dorothy,mixture,20.000,30.000,-21.161,1.000000
train,Triviul - Dorothy,vocals,20.000,30.000,-24.868,0.965000
train,Triviul - Dorothy,drums,20.000,30.000,-24.626,0.640000
train,Triviul - Dorothy,bass,20.000,30.000,-29.342,0.445000
train,Triviul - Dorothy,other,20.000,30.000,-34.996,0.915000
train,Triviul - Dorothy,mixture,30.000,40.000,-20.090,1.000000
train,Triviul - Dorothy,vocals,30.000,40.000,-24.492,0.715000
train,Triviul - Dorothy,drums,30.000,40.000,-23.690,0.710000
train,Triviul - Dorothy,bass,30.000,40.000,-28.670,0.500000
train,Triviul - Dorothy,other,30.000,40.000,-31.046,1.000000
train,Triviul - Dorothy,mixture,40.000,50.000,-21.070,1.000000
train,Triviul - Dorothy,vocals,40.000,50.000,-25.388,0.985000
train,Triviul - Dorothy,drums,40.000,50.000,-24.536,0.465000
train,Triviul - Dorothy,bass,40.000,50.000,-30.088,0.305000
train,Triviul - Dorothy,other,40.000,50.000,-32.485,1.000000
train,Triviul - Dorothy,mixture,50.000,60.000,-21.064,1.000000
train,Triviul - Dorothy,vocals,50.000,60.000,-26.012,0.970000
train,Triviul - Dorothy,drums,50.000,60.000,-24.517,0.525000
train,Triviul - Dorothy,bass,50.000,60.000,-28.994,0.450000
train,Triviul - Dorothy,other,50.000,60.000,-32.065,0.930000
train,Triviul - Dorothy,mixture,60.000,70.000,-19.272,1.000000
train,Triviul - Dorothy,vocals,60.000,70.000,-22.630,1.000000
train,Triviul - Dorothy,drums,60.000,70.000,-23.308,0.790000
train,Triviul - Dorothy,bass,60.000,70.000,-28.668,0.485000
train,Triviul - Dorothy,other,60.000,70.000,-31.532,1.000000
train,Triviul - Dorothy,mixture,70.000,80.000,-19.426,1.000000
train,Triviul - Dorothy,vocals,70.000,80.000,-23.000,1.000000
train,Triviul - Dorothy,drums,70.000,80.000,-23.158,0.805000
train,Triviul - Dorothy,bass,70.000,80.000,-28.913,0.465000
train,Triviul - Dorothy,other,70.000,80.000,-31.897,1.000000
train,Triviul - Dorothy,mixture,80.000,90.000,-20.283,1.000000
train,Triviul - Dorothy,vocals,80.000,90.000,-26.025,0.965000
train,Triviul - Dorothy,drums,80.000,90.000,-24.231,0.545000
train,Triviul - Dorothy,bass,80.000,90.000,-26.741,0.735000
train,Triviul - Dorothy,other,80.000,90.000,-30.602,1.000000
train,Triviul - Dorothy,mixture,90.000,100.000,-18.715,1.000000
train,Triviul - Dorothy,vocals,90.000,100.000,-24.174,0.985000
train,Triviul - Dorothy,drums,90.000,100.000,-24.288,0.440000
train,Triviul - Dorothy,bass,90.000,100.000,-24.223,0.940000
train,Triviul - Dorothy,other,90.000,100.000,-26.769,1.000000
train,Triviul - Dorothy,mixture,100.000,110.000,-18.782,1.000000
train,Triviul - Dorothy,vocals,100.000,110.000,-22.782,1.000000
train,Triviul - Dorothy,drums,100.000,110.000,-24.752,0.445000
train,Triviul - Dorothy,bass,100.000,110.000,-24.970,0.865000
train,Triviul - Dorothy,other,100.000,110.000,-29.584,0.740000
train,Triviul - Dorothy,mixture,110.000,120.000,-20.594,1.000000
train,Triviul - Dorothy,vocals,110.000,120.000,-24.433,0.995000
train,Triviul - Dorothy,drums,110.000,120.000,-24.643,0.470000
train,Triviul - Dorothy,bass,110.000,120.000,-29.037,0.445000
train,Triviul - Dorothy,other,110.000,120.000,-37.191,0.500000
train,Triviul - Dorothy,mixture,120.000,130.000,-20.903,1.000000
train,Triviul - Dorothy,vocals,120.000,130.000,-24.344,1.000000
train,Triviul - Dorothy,drums,120.000,130.000,-25.077,0.675000
train,Triviul - Dorothy,bass,120.000,130.000,-31.068,0.470000
train,Triviul - Dorothy,other,120.000,130.000,-30.143,1.000000
train,Triviul - Dorothy,mixture,130.000,140.000,-20.018,1.000000
train,Triviul - Dorothy,vocals,130.000,140.000,-21.891,1.000000
train,Triviul - Dorothy,drums,130.000,140.000,-29.826,0.500000
train,Triviul - Dorothy,bass,130.000,140.000,-240.000,0.000000
train,Triviul - Dorothy,other,130.000,140.000,-26.018,1.000000
train,Triviul - Dorothy,mixture,140.000,150.000,-17.726,1.000000
train,Triviul - Dorothy,vocals,140.000,150.000,-20.306,1.000000
train,Triviul - Dorothy,drums,140.000,150.000,-23.755,0.690000
train,Triviul - Dorothy,bass,140.000,150.000,-34.486,0.135000
train,Triviul - Dorothy,other,140.000,150.000,-25.239,1.000000
train,Triviul - Dorothy,mixture,150.000,160.000,-17.449,1.000000
train,Triviul - Dorothy,vocals,150.000,160.000,-20.706,1.000000
train,Triviul - Dorothy,drums,150.000,160.000,-22.815,0.805000
train,Triviul - Dorothy,bass,150.000,160.000,-28.548,0.520000
train,Triviul - Dorothy,other,150.000,160.000,-25.526,1.000000
train,Triviul - Dorothy,mixture,160.000,170.000,-18.086,1.000000
train,Triviul - Dorothy,vocals,160.000,170.000,-21.651,1.000000
train,Triviul - Dorothy,drums,160.000,170.000,-23.247,0.775000
train,Triviul - Dorothy,bass,160.000,170.000,-28.126,0.640000
train,Triviul - Dorothy,other,160.000,170.000,-26.246,1.000000
train,Triviul - Dorothy,mixture,170.000,180.000,-25.239,0.485000
train,Triviul - Dorothy,vocals,170.000,180.000,-28.526,0.295000
train,Triviul - Dorothy,drums,170.000,180.000,-47.467,0.210000
train,Triviul - Dorothy,bass,170.000,180.000,-28.482,0.410000
train,Triviul - Dorothy,other,170.000,180.000,-38.589,0.445000
train,Triviul - Dorothy,mixture,180.000,187.558,-76.700,0.000000
train,Triviul - Dorothy,vocals,180.000,187.558,-240.000,0.000000
train,Triviul - Dorothy,drums,180.000,187.558,-240.000,0.000000
train,Triviul - Dorothy,bass,180.000,187.558,-240.000,0.000000
train,Triviul - Dorothy,other,180.000,187.558,-76.700,0.000000
train,Hezekiah Jones - Borrowed Heart,mixture,0.000,10.000,-20.632,1.000000
train,Hezekiah Jones - Borrowed Heart,vocals,0.000,10.000,-23.990,0.950000
train,Hezekiah Jones - Borrowed Heart,drums,0.000,10.000,-27.040,0.990000
train,Hezekiah Jones - Borrowed Heart,bass,0.000,10.000,-79.893,0.000000
train,Hezekiah Jones - Borrowed Heart,other,0.000,10.000,-25.715,1.000000
train,Hezekiah Jones - Borrowed Heart,mixture,10.000,20.000,-20.757,1.000000
